Period,averageRating
1972-1999,5.9
1972-1999,7.2
1972-1999,8.5
1972-1999,7.6
1972-1999,4.2
1972-1999,6.8
1972-1999,5.4
1972-1999,5.3
1972-1999,5.4
1972-1999,7.7
1972-1999,4.3
1972-1999,5.0
1972-1999,4.7
1972-1999,6.0
1972-1999,4.9
1972-1999,5.8
1972-1999,6.7
1972-1999,4.9
1972-1999,6.0
1972-1999,7.0
1972-1999,5.9
1972-1999,7.2
1972-1999,7.1
1972-1999,6.8
1972-1999,8.2
1972-1999,3.9
1972-1999,3.5
1972-1999,6.6
1972-1999,6.9
1972-1999,5.3
1972-1999,5.0
1972-1999,7.0
1972-1999,6.6
1972-1999,6.3
1972-1999,3.8
1972-1999,6.6
1972-1999,5.8
1972-1999,2.4
1972-1999,5.8
1972-1999,5.0
1972-1999,6.8
1972-1999,5.3
1972-1999,5.9
1972-1999,6.1
1972-1999,7.1
1972-1999,6.2
1972-1999,7.7
1972-1999,7.7
1972-1999,5.5
1972-1999,8.2
1972-1999,6.8
1972-1999,5.0
1972-1999,6.1
1972-1999,5.6
1972-1999,5.7
1972-1999,5.7
1972-1999,5.4
1972-1999,7.4
1972-1999,7.1
1972-1999,5.3
1972-1999,3.2
1972-1999,6.4
1972-1999,5.5
1972-1999,6.2
1972-1999,4.9
1972-1999,4.7
1972-1999,4.9
1972-1999,7.2
1972-1999,6.5
1972-1999,6.7
1972-1999,5.6
1972-1999,6.3
1972-1999,6.3
1972-1999,2.6
1972-1999,5.9
1972-1999,6.3
1972-1999,5.6
1972-1999,7.7
1972-1999,6.2
1972-1999,4.5
1972-1999,5.9
1972-1999,6.0
1972-1999,5.8
1972-1999,5.8
1972-1999,4.0
1972-1999,6.4
1972-1999,6.3
1972-1999,3.8
1972-1999,6.6
1972-1999,6.5
1972-1999,6.8
1972-1999,7.2
1972-1999,6.1
1972-1999,5.2
1972-1999,6.8
1972-1999,6.7
1972-1999,5.2
1972-1999,7.1
1972-1999,7.6
1972-1999,4.6
1972-1999,5.4
1972-1999,5.4
1972-1999,6.0
1972-1999,6.6
1972-1999,6.4
1972-1999,5.4
1972-1999,3.9
1972-1999,5.5
1972-1999,4.8
1972-1999,6.8
1972-1999,7.1
1972-1999,6.6
1972-1999,6.8
1972-1999,6.5
1972-1999,6.5
1972-1999,6.0
1972-1999,6.6
1972-1999,5.5
1972-1999,6.6
1972-1999,6.8
1972-1999,7.3
1972-1999,4.5
1972-1999,6.7
1972-1999,4.8
1972-1999,6.4
1972-1999,6.7
1972-1999,7.2
1972-1999,6.5
1972-1999,7.2
1972-1999,4.9
1972-1999,7.1
1972-1999,7.0
1972-1999,5.9
1972-1999,7.0
1972-1999,6.6
1972-1999,6.5
1972-1999,6.3
1972-1999,6.5
1972-1999,8.0
1972-1999,6.8
1972-1999,3.8
1972-1999,7.6
1972-1999,4.3
1972-1999,5.2
1972-1999,4.8
1972-1999,4.5
1972-1999,7.5
1972-1999,5.7
1972-1999,4.2
1972-1999,7.3
1972-1999,3.8
1972-1999,5.0
1972-1999,7.9
1972-1999,4.1
1972-1999,3.8
1972-1999,8.4
1972-1999,6.6
1972-1999,6.4
1972-1999,7.9
1972-1999,6.3
1972-1999,7.0
1972-1999,4.5
1972-1999,6.3
1972-1999,6.3
1972-1999,7.0
1972-1999,6.8
1972-1999,5.4
1972-1999,3.8
1972-1999,4.4
1972-1999,6.4
1972-1999,7.4
1972-1999,7.3
1972-1999,6.6
1972-1999,6.4
1972-1999,5.9
1972-1999,7.2
1972-1999,7.4
1972-1999,6.4
1972-1999,6.0
1972-1999,7.6
1972-1999,4.5
1972-1999,4.1
1972-1999,7.4
1972-1999,6.9
1972-1999,5.0
1972-1999,5.1
1972-1999,7.4
1972-1999,6.6
1972-1999,5.9
1972-1999,6.0
1972-1999,3.7
1972-1999,6.5
1972-1999,3.8
1972-1999,5.9
1972-1999,4.3
1972-1999,5.5
1972-1999,4.3
1972-1999,5.6
1972-1999,6.2
1972-1999,7.5
1972-1999,6.1
1972-1999,4.7
1972-1999,5.5
1972-1999,6.7
1972-1999,7.3
1972-1999,8.4
1972-1999,5.0
1972-1999,6.8
1972-1999,5.3
1972-1999,6.0
1972-1999,5.4
1972-1999,7.3
1972-1999,6.1
1972-1999,7.7
1972-1999,5.2
1972-1999,4.7
1972-1999,7.6
1972-1999,6.8
1972-1999,7.2
1972-1999,4.6
1972-1999,4.8
1972-1999,5.2
1972-1999,5.8
1972-1999,5.6
1972-1999,6.7
1972-1999,7.2
1972-1999,7.8
1972-1999,6.4
1972-1999,6.6
1972-1999,6.1
1972-1999,5.6
1972-1999,7.4
1972-1999,7.4
1972-1999,3.8
1972-1999,5.4
1972-1999,6.5
1972-1999,5.9
1972-1999,6.0
1972-1999,5.3
1972-1999,6.3
1972-1999,4.4
1972-1999,6.4
1972-1999,5.3
1972-1999,4.2
1972-1999,7.9
1972-1999,4.7
1972-1999,5.2
1972-1999,6.3
1972-1999,7.2
1972-1999,6.8
1972-1999,5.5
1972-1999,6.0
1972-1999,7.3
1972-1999,7.2
1972-1999,7.4
1972-1999,5.3
1972-1999,3.6
1972-1999,6.4
1972-1999,4.6
1972-1999,5.7
1972-1999,7.3
1972-1999,7.3
1972-1999,5.6
1972-1999,4.6
1972-1999,6.8
1972-1999,4.6
1972-1999,6.1
1972-1999,7.3
1972-1999,6.4
1972-1999,4.5
1972-1999,4.6
1972-1999,7.0
1972-1999,6.2
1972-1999,5.8
1972-1999,4.2
1972-1999,6.1
1972-1999,6.6
1972-1999,6.1
1972-1999,7.1
1972-1999,5.7
1972-1999,6.3
1972-1999,6.7
1972-1999,4.5
1972-1999,5.7
1972-1999,6.6
1972-1999,7.8
1972-1999,4.6
1972-1999,6.6
1972-1999,5.9
1972-1999,6.6
1972-1999,7.7
1972-1999,6.3
1972-1999,4.9
1972-1999,7.2
1972-1999,7.4
1972-1999,5.8
1972-1999,7.5
1972-1999,5.3
1972-1999,5.8
1972-1999,7.5
1972-1999,7.2
1972-1999,6.1
1972-1999,6.7
1972-1999,7.0
1972-1999,3.5
1972-1999,4.8
1972-1999,5.0
1972-1999,5.2
1972-1999,6.9
1972-1999,6.6
1972-1999,7.0
1972-1999,5.8
1972-1999,6.5
1972-1999,4.9
1972-1999,7.1
1972-1999,5.1
1972-1999,5.4
1972-1999,5.7
1972-1999,6.1
1972-1999,6.3
1972-1999,6.5
1972-1999,6.6
1972-1999,6.8
1972-1999,7.0
1972-1999,7.8
1972-1999,7.1
1972-1999,8.2
1972-1999,6.8
1972-1999,5.4
1972-1999,7.5
1972-1999,5.7
1972-1999,5.3
1972-1999,7.1
1972-1999,6.1
1972-1999,5.5
1972-1999,5.1
1972-1999,6.8
1972-1999,5.1
1972-1999,7.0
1972-1999,6.2
1972-1999,6.5
1972-1999,3.6
1972-1999,7.1
1972-1999,6.5
1972-1999,4.7
1972-1999,5.2
1972-1999,4.8
1972-1999,4.7
1972-1999,6.2
1972-1999,4.3
1972-1999,7.2
1972-1999,5.0
1972-1999,5.8
1972-1999,7.7
1972-1999,5.2
1972-1999,4.0
1972-1999,6.8
1972-1999,3.4
1972-1999,5.3
1972-1999,5.7
1972-1999,7.3
1972-1999,6.3
1972-1999,5.8
1972-1999,2.5
1972-1999,4.1
1972-1999,7.6
1972-1999,6.4
1972-1999,6.3
1972-1999,7.4
1972-1999,6.4
1972-1999,5.4
1972-1999,7.6
1972-1999,6.6
1972-1999,7.5
1972-1999,6.0
1972-1999,5.6
1972-1999,7.3
1972-1999,6.9
1972-1999,6.9
1972-1999,7.8
1972-1999,6.8
1972-1999,5.2
1972-1999,8.2
1972-1999,7.3
1972-1999,5.9
1972-1999,5.5
1972-1999,3.8
1972-1999,4.2
1972-1999,5.1
1972-1999,6.1
1972-1999,5.9
1972-1999,2.4
1972-1999,5.7
1972-1999,4.4
1972-1999,7.1
1972-1999,6.5
1972-1999,4.2
1972-1999,5.5
1972-1999,6.3
1972-1999,4.4
1972-1999,5.0
1972-1999,6.4
1972-1999,4.3
1972-1999,6.4
1972-1999,5.9
1972-1999,6.0
1972-1999,5.7
1972-1999,6.4
1972-1999,4.8
1972-1999,4.7
1972-1999,4.8
1972-1999,5.9
1972-1999,7.7
1972-1999,5.8
1972-1999,5.8
1972-1999,4.9
1972-1999,5.3
1972-1999,6.3
1972-1999,6.2
1972-1999,6.8
1972-1999,7.4
1972-1999,7.3
1972-1999,5.2
1972-1999,6.0
1972-1999,5.9
1972-1999,5.8
1972-1999,5.0
1972-1999,6.5
1972-1999,5.6
1972-1999,5.4
1972-1999,6.2
1972-1999,7.9
1972-1999,5.4
1972-1999,6.1
1972-1999,7.1
1972-1999,8.1
1972-1999,6.3
1972-1999,5.7
1972-1999,7.4
1972-1999,5.4
1972-1999,7.0
1972-1999,6.1
1972-1999,6.7
1972-1999,6.6
1972-1999,7.3
1972-1999,7.0
1972-1999,6.3
1972-1999,5.1
1972-1999,5.0
1972-1999,5.2
1972-1999,5.8
1972-1999,3.9
1972-1999,5.7
1972-1999,4.7
1972-1999,7.1
1972-1999,6.3
1972-1999,5.1
1972-1999,7.9
1972-1999,6.1
1972-1999,6.6
1972-1999,6.6
1972-1999,4.9
1972-1999,6.4
1972-1999,4.0
1972-1999,6.9
1972-1999,5.6
1972-1999,8.2
1972-1999,7.1
1972-1999,6.5
1972-1999,6.5
1972-1999,6.4
1972-1999,6.4
1972-1999,6.4
1972-1999,6.5
1972-1999,7.0
1972-1999,5.5
1972-1999,7.3
1972-1999,7.3
1972-1999,5.1
1972-1999,6.7
1972-1999,7.7
1972-1999,6.3
1972-1999,7.8
1972-1999,7.0
1972-1999,6.3
1972-1999,7.1
1972-1999,6.0
1972-1999,6.6
1972-1999,7.7
1972-1999,7.1
1972-1999,5.7
1972-1999,6.4
1972-1999,6.3
1972-1999,6.0
1972-1999,6.9
1972-1999,6.3
1972-1999,7.1
1972-1999,7.1
1972-1999,6.1
1972-1999,6.8
1972-1999,5.6
1972-1999,5.3
1972-1999,4.4
1972-1999,4.9
1972-1999,5.1
1972-1999,4.9
1972-1999,5.6
1972-1999,5.7
1972-1999,6.7
1972-1999,6.2
1972-1999,6.7
1972-1999,7.1
1972-1999,6.2
1972-1999,4.7
1972-1999,6.5
1972-1999,5.3
1972-1999,8.0
1972-1999,6.6
1972-1999,6.3
1972-1999,6.2
1972-1999,8.0
1972-1999,3.4
1972-1999,6.1
1972-1999,3.5
1972-1999,3.7
1972-1999,6.9
1972-1999,6.9
1972-1999,5.9
1972-1999,6.4
1972-1999,8.2
1972-1999,6.4
1972-1999,4.9
1972-1999,6.3
1972-1999,4.3
1972-1999,5.6
1972-1999,7.5
1972-1999,5.1
1972-1999,6.6
1972-1999,4.4
1972-1999,5.5
1972-1999,4.5
1972-1999,5.6
1972-1999,6.2
1972-1999,5.1
1972-1999,4.8
1972-1999,5.3
1972-1999,4.9
1972-1999,7.5
1972-1999,6.8
1972-1999,5.3
1972-1999,6.0
1972-1999,6.2
1972-1999,5.3
1972-1999,4.0
1972-1999,6.1
1972-1999,4.5
1972-1999,4.6
1972-1999,7.6
1972-1999,5.6
1972-1999,6.2
1972-1999,5.8
1972-1999,7.3
1972-1999,7.6
1972-1999,7.2
1972-1999,6.1
1972-1999,5.8
1972-1999,6.7
1972-1999,7.2
1972-1999,6.3
1972-1999,5.3
1972-1999,5.1
1972-1999,6.6
1972-1999,4.4
1972-1999,5.9
1972-1999,5.2
1972-1999,6.2
1972-1999,6.8
1972-1999,7.0
1972-1999,4.3
1972-1999,4.4
1972-1999,5.5
1972-1999,7.7
1972-1999,6.5
1972-1999,7.8
1972-1999,7.3
1972-1999,6.6
1972-1999,5.1
1972-1999,6.2
1972-1999,5.0
1972-1999,6.5
1972-1999,4.4
1972-1999,5.8
1972-1999,6.1
1972-1999,7.6
1972-1999,5.4
1972-1999,7.5
1972-1999,7.4
1972-1999,6.8
1972-1999,6.2
1972-1999,4.1
1972-1999,4.7
1972-1999,4.2
1972-1999,6.8
1972-1999,5.9
1972-1999,6.1
1972-1999,4.7
1972-1999,5.1
1972-1999,6.0
1972-1999,6.6
1972-1999,6.2
1972-1999,6.1
1972-1999,8.4
1972-1999,5.9
1972-1999,6.4
1972-1999,6.0
1972-1999,7.4
1972-1999,8.0
1972-1999,6.2
1972-1999,6.3
1972-1999,4.9
1972-1999,5.6
1972-1999,6.2
1972-1999,7.8
1972-1999,5.0
1972-1999,6.3
1972-1999,5.3
1972-1999,7.3
1972-1999,6.9
1972-1999,6.1
1972-1999,7.8
1972-1999,6.0
1972-1999,6.2
1972-1999,5.5
1972-1999,6.0
1972-1999,4.6
1972-1999,6.3
1972-1999,5.5
1972-1999,4.8
1972-1999,4.2
1972-1999,3.9
1972-1999,8.1
1972-1999,6.0
1972-1999,5.1
1972-1999,6.0
1972-1999,7.1
1972-1999,7.9
1972-1999,8.1
1972-1999,5.5
1972-1999,4.8
1972-1999,4.3
1972-1999,6.9
1972-1999,6.0
1972-1999,6.0
1972-1999,3.8
1972-1999,7.2
1972-1999,5.5
1972-1999,6.6
1972-1999,6.2
1972-1999,5.6
1972-1999,6.2
1972-1999,6.4
1972-1999,6.9
1972-1999,7.4
1972-1999,7.4
1972-1999,5.6
1972-1999,6.2
1972-1999,4.8
1972-1999,6.4
1972-1999,7.6
1972-1999,6.4
1972-1999,6.2
1972-1999,6.4
1972-1999,5.9
1972-1999,5.8
1972-1999,6.5
1972-1999,4.5
1972-1999,7.0
1972-1999,7.9
1972-1999,7.8
1972-1999,5.7
1972-1999,6.0
1972-1999,5.2
1972-1999,6.2
1972-1999,5.8
1972-1999,5.4
1972-1999,3.6
1972-1999,4.6
1972-1999,7.2
1972-1999,5.6
1972-1999,7.4
1972-1999,6.6
1972-1999,7.2
1972-1999,4.7
1972-1999,6.2
1972-1999,6.2
1972-1999,4.9
1972-1999,3.3
1972-1999,6.0
1972-1999,6.2
1972-1999,6.6
1972-1999,7.1
1972-1999,5.1
1972-1999,7.1
1972-1999,3.2
1972-1999,7.0
1972-1999,4.5
1972-1999,5.7
1972-1999,6.2
1972-1999,4.5
1972-1999,6.0
1972-1999,8.7
1972-1999,6.5
1972-1999,6.3
1972-1999,5.6
1972-1999,5.3
1972-1999,7.1
1972-1999,7.1
1972-1999,7.1
1972-1999,6.1
1972-1999,5.8
1972-1999,6.2
1972-1999,6.5
1972-1999,3.6
1972-1999,5.0
1972-1999,5.0
1972-1999,6.8
1972-1999,4.8
1972-1999,7.4
1972-1999,6.8
1972-1999,5.9
1972-1999,7.2
1972-1999,6.7
1972-1999,6.6
1972-1999,7.0
1972-1999,6.8
1972-1999,7.3
1972-1999,5.0
1972-1999,3.9
1972-1999,5.5
1972-1999,4.7
1972-1999,7.2
1972-1999,7.2
1972-1999,4.7
1972-1999,6.6
1972-1999,5.8
1972-1999,7.0
1972-1999,4.9
1972-1999,6.9
1972-1999,6.6
1972-1999,5.4
1972-1999,7.3
1972-1999,7.4
1972-1999,7.1
1972-1999,7.1
1972-1999,5.6
1972-1999,3.4
1972-1999,5.7
1972-1999,7.2
1972-1999,5.5
1972-1999,3.4
1972-1999,6.8
1972-1999,5.9
1972-1999,5.7
1972-1999,4.9
1972-1999,6.9
1972-1999,4.0
1972-1999,4.4
1972-1999,5.5
1972-1999,7.0
1972-1999,5.3
1972-1999,6.3
1972-1999,4.5
1972-1999,6.0
1972-1999,6.3
1972-1999,6.6
1972-1999,4.4
1972-1999,5.7
1972-1999,7.4
1972-1999,5.5
1972-1999,5.8
1972-1999,5.7
1972-1999,5.7
1972-1999,5.8
1972-1999,7.1
1972-1999,5.7
1972-1999,7.5
1972-1999,6.6
1972-1999,6.1
1972-1999,3.5
1972-1999,5.7
1972-1999,7.1
1972-1999,5.4
1972-1999,6.5
1972-1999,7.4
1972-1999,6.7
1972-1999,7.6
1972-1999,7.1
1972-1999,6.7
1972-1999,6.5
1972-1999,4.6
1972-1999,6.2
1972-1999,6.6
1972-1999,3.1
1972-1999,4.4
1972-1999,7.2
1972-1999,5.5
1972-1999,5.3
1972-1999,6.6
1972-1999,7.1
1972-1999,5.9
1972-1999,6.2
1972-1999,6.6
1972-1999,6.3
1972-1999,6.1
1972-1999,7.9
1972-1999,7.9
1972-1999,5.0
1972-1999,5.1
1972-1999,6.8
1972-1999,6.7
1972-1999,6.5
1972-1999,7.1
1972-1999,6.7
1972-1999,7.1
1972-1999,7.5
1972-1999,7.5
1972-1999,7.2
1972-1999,7.4
1972-1999,6.8
1972-1999,3.0
1972-1999,5.2
1972-1999,6.8
1972-1999,5.8
1972-1999,6.5
1972-1999,7.5
1972-1999,4.2
1972-1999,5.9
1972-1999,5.7
1972-1999,6.6
1972-1999,7.1
1972-1999,8.1
1972-1999,4.8
1972-1999,6.1
1972-1999,4.7
1972-1999,5.7
1972-1999,7.1
1972-1999,5.9
1972-1999,7.4
1972-1999,7.0
1972-1999,7.0
1972-1999,7.0
1972-1999,7.1
1972-1999,6.4
1972-1999,4.7
1972-1999,5.4
1972-1999,5.7
1972-1999,5.0
1972-1999,6.8
1972-1999,5.8
1972-1999,5.3
1972-1999,8.1
1972-1999,5.6
1972-1999,7.1
1972-1999,5.6
1972-1999,5.3
1972-1999,6.2
1972-1999,7.1
1972-1999,6.4
1972-1999,7.8
1972-1999,3.5
1972-1999,6.2
1972-1999,4.7
1972-1999,6.0
1972-1999,5.8
1972-1999,6.2
1972-1999,6.2
1972-1999,2.6
1972-1999,6.4
1972-1999,6.7
1972-1999,5.9
1972-1999,7.7
1972-1999,5.2
1972-1999,8.0
1972-1999,6.1
1972-1999,5.9
1972-1999,4.5
1972-1999,6.7
1972-1999,5.5
1972-1999,5.7
1972-1999,5.1
1972-1999,5.5
1972-1999,5.3
1972-1999,5.4
1972-1999,4.6
1972-1999,5.5
1972-1999,7.2
1972-1999,5.1
1972-1999,5.3
1972-1999,6.1
1972-1999,5.6
1972-1999,4.6
1972-1999,5.1
1972-1999,4.9
1972-1999,5.7
1972-1999,6.2
1972-1999,4.8
1972-1999,6.9
1972-1999,7.2
1972-1999,8.0
1972-1999,6.5
1972-1999,5.3
1972-1999,7.5
1972-1999,6.2
1972-1999,6.1
1972-1999,5.2
1972-1999,3.7
1972-1999,6.2
1972-1999,4.6
1972-1999,7.8
1972-1999,6.0
1972-1999,5.9
1972-1999,8.0
1972-1999,5.7
1972-1999,6.0
1972-1999,4.1
1972-1999,7.1
1972-1999,6.7
1972-1999,6.2
1972-1999,6.5
1972-1999,7.2
1972-1999,3.8
1972-1999,3.3
1972-1999,5.8
1972-1999,5.3
1972-1999,4.5
1972-1999,7.1
1972-1999,7.7
1972-1999,5.3
1972-1999,7.0
1972-1999,6.1
1972-1999,8.5
1972-1999,6.3
1972-1999,5.2
1972-1999,5.3
1972-1999,4.6
1972-1999,7.7
1972-1999,7.2
1972-1999,4.0
1972-1999,5.9
1972-1999,7.3
1972-1999,7.1
1972-1999,7.4
1972-1999,6.3
1972-1999,7.4
1972-1999,5.6
1972-1999,4.1
1972-1999,6.1
1972-1999,7.3
1972-1999,5.2
1972-1999,5.2
1972-1999,5.7
1972-1999,6.5
1972-1999,6.4
1972-1999,6.2
1972-1999,6.0
1972-1999,6.7
1972-1999,6.3
1972-1999,5.7
1972-1999,4.2
1972-1999,6.1
1972-1999,6.5
1972-1999,5.4
1972-1999,5.2
1972-1999,6.6
1972-1999,8.1
1972-1999,5.6
1972-1999,6.6
1972-1999,7.4
1972-1999,3.8
1972-1999,6.1
1972-1999,3.4
1972-1999,6.6
1972-1999,6.3
1972-1999,6.6
1972-1999,7.2
1972-1999,4.0
1972-1999,7.1
1972-1999,7.7
1972-1999,5.8
1972-1999,4.5
1972-1999,3.8
1972-1999,5.8
1972-1999,6.3
1972-1999,7.6
1972-1999,5.0
1972-1999,7.3
1972-1999,6.2
1972-1999,7.1
1972-1999,6.1
1972-1999,5.9
1972-1999,6.1
1972-1999,5.9
1972-1999,7.8
1972-1999,6.7
1972-1999,6.7
1972-1999,7.2
1972-1999,2.7
1972-1999,6.7
1972-1999,6.1
1972-1999,6.7
1972-1999,7.5
1972-1999,6.4
1972-1999,6.3
1972-1999,6.3
1972-1999,2.8
1972-1999,5.5
1972-1999,5.3
1972-1999,5.8
1972-1999,7.2
1972-1999,4.0
1972-1999,6.3
1972-1999,4.4
1972-1999,7.3
1972-1999,7.2
1972-1999,5.8
1972-1999,8.0
1972-1999,6.5
1972-1999,6.2
1972-1999,6.2
1972-1999,6.8
1972-1999,6.7
1972-1999,7.1
1972-1999,7.7
1972-1999,5.8
1972-1999,6.7
1972-1999,6.4
1972-1999,2.8
1972-1999,6.2
1972-1999,4.7
1972-1999,4.7
1972-1999,6.5
1972-1999,5.8
1972-1999,6.0
1972-1999,8.0
1972-1999,4.7
1972-1999,6.5
1972-1999,6.5
1972-1999,6.0
1972-1999,6.9
1972-1999,6.3
1972-1999,4.2
1972-1999,6.0
1972-1999,6.8
1972-1999,5.4
1972-1999,4.7
1972-1999,5.8
1972-1999,6.1
1972-1999,7.7
1972-1999,5.8
1972-1999,4.8
1972-1999,5.5
1972-1999,6.0
1972-1999,6.3
1972-1999,7.5
1972-1999,6.6
1972-1999,6.2
1972-1999,6.1
1972-1999,5.5
1972-1999,5.3
1972-1999,7.5
1972-1999,5.2
1972-1999,5.9
1972-1999,7.6
1972-1999,5.9
1972-1999,4.7
1972-1999,5.5
1972-1999,4.8
1972-1999,7.3
1972-1999,5.8
1972-1999,6.4
1972-1999,6.6
1972-1999,6.0
1972-1999,5.6
1972-1999,5.3
1972-1999,6.1
1972-1999,6.2
1972-1999,6.2
1972-1999,6.3
1972-1999,6.8
1972-1999,5.6
1972-1999,7.3
1972-1999,3.6
1972-1999,5.5
1972-1999,7.1
1972-1999,4.5
1972-1999,6.5
1972-1999,6.5
1972-1999,6.2
1972-1999,4.2
1972-1999,5.3
1972-1999,6.8
1972-1999,4.6
1972-1999,7.4
1972-1999,7.4
1972-1999,6.1
1972-1999,6.0
1972-1999,6.6
1972-1999,5.9
1972-1999,4.9
1972-1999,5.5
1972-1999,5.6
1972-1999,6.1
1972-1999,6.4
1972-1999,6.9
1972-1999,7.4
1972-1999,6.3
1972-1999,7.2
1972-1999,5.1
1972-1999,6.7
1972-1999,4.9
1972-1999,5.5
1972-1999,5.8
1972-1999,5.7
1972-1999,4.3
1972-1999,6.6
1972-1999,7.2
1972-1999,5.4
1972-1999,4.0
1972-1999,5.6
1972-1999,6.9
1972-1999,6.4
1972-1999,4.2
1972-1999,7.2
1972-1999,6.4
1972-1999,5.1
1972-1999,6.5
1972-1999,6.9
1972-1999,6.6
1972-1999,5.4
1972-1999,7.2
1972-1999,5.9
1972-1999,4.8
1972-1999,6.3
1972-1999,6.9
1972-1999,4.9
1972-1999,8.8
1972-1999,3.2
1972-1999,8.4
1972-1999,7.0
1972-1999,4.3
1972-1999,4.2
1972-1999,6.0
1972-1999,6.4
1972-1999,7.3
1972-1999,7.5
1972-1999,4.2
1972-1999,7.3
1972-1999,3.7
1972-1999,6.2
1972-1999,6.6
1972-1999,7.9
1972-1999,5.2
1972-1999,7.2
1972-1999,6.9
1972-1999,4.7
1972-1999,7.8
1972-1999,6.6
1972-1999,6.1
1972-1999,5.1
1972-1999,7.4
1972-1999,5.1
1972-1999,7.7
1972-1999,7.5
1972-1999,4.7
1972-1999,7.0
1972-1999,7.3
1972-1999,7.2
1972-1999,6.4
1972-1999,7.5
1972-1999,7.1
1972-1999,5.5
1972-1999,4.3
1972-1999,6.1
1972-1999,5.1
1972-1999,7.8
1972-1999,6.7
1972-1999,7.3
1972-1999,3.7
1972-1999,5.4
1972-1999,5.8
1972-1999,7.0
1972-1999,5.7
1972-1999,6.9
1972-1999,7.1
1972-1999,7.4
1972-1999,6.6
1972-1999,4.3
1972-1999,6.4
1972-1999,6.3
1972-1999,7.3
1972-1999,6.7
1972-1999,6.7
1972-1999,4.2
1972-1999,6.7
1972-1999,6.0
1972-1999,6.6
1972-1999,6.4
1972-1999,6.5
1972-1999,7.2
1972-1999,6.0
1972-1999,4.4
1972-1999,7.4
1972-1999,7.9
1972-1999,7.8
1972-1999,7.0
1972-1999,7.0
1972-1999,5.3
1972-1999,6.6
1972-1999,4.6
1972-1999,7.0
1972-1999,4.8
1972-1999,4.9
1972-1999,6.1
1972-1999,6.6
1972-1999,6.1
1972-1999,6.1
1972-1999,6.2
1972-1999,6.1
1972-1999,6.9
1972-1999,6.5
1972-1999,6.3
1972-1999,6.5
1972-1999,5.4
1972-1999,5.1
1972-1999,5.5
1972-1999,6.1
1972-1999,7.3
1972-1999,7.2
1972-1999,4.6
1972-1999,4.3
1972-1999,6.7
1972-1999,6.6
1972-1999,5.0
1972-1999,6.1
1972-1999,6.3
1972-1999,7.1
1972-1999,5.8
1972-1999,5.5
1972-1999,6.7
1972-1999,6.6
1972-1999,6.0
1972-1999,5.5
1972-1999,6.8
1972-1999,6.0
1972-1999,6.5
1972-1999,3.6
1972-1999,7.4
1972-1999,7.3
1972-1999,5.5
1972-1999,6.6
1972-1999,3.0
1972-1999,6.2
1972-1999,6.6
1972-1999,7.1
1972-1999,5.3
1972-1999,3.8
1972-1999,3.2
1972-1999,5.2
1972-1999,7.1
1972-1999,6.6
1972-1999,5.6
1972-1999,6.6
1972-1999,4.9
1972-1999,6.0
1972-1999,5.6
1972-1999,4.0
1972-1999,5.9
1972-1999,5.3
1972-1999,7.6
1972-1999,5.3
1972-1999,6.6
1972-1999,6.7
1972-1999,6.2
1972-1999,4.1
1972-1999,6.8
1972-1999,5.1
1972-1999,4.4
1972-1999,6.2
1972-1999,6.3
1972-1999,6.0
1972-1999,6.2
1972-1999,7.7
1972-1999,5.0
1972-1999,4.0
1972-1999,6.9
1972-1999,4.5
1972-1999,8.0
1972-1999,5.3
1972-1999,6.9
1972-1999,5.5
1972-1999,6.4
1972-1999,7.7
1972-1999,5.1
1972-1999,7.5
1972-1999,7.2
1972-1999,7.0
1972-1999,7.0
1972-1999,5.8
1972-1999,7.3
1972-1999,4.0
1972-1999,7.5
1972-1999,6.1
1972-1999,4.6
1972-1999,6.2
1972-1999,3.9
1972-1999,6.5
1972-1999,5.3
1972-1999,6.0
1972-1999,2.8
1972-1999,7.3
1972-1999,5.1
1972-1999,7.2
1972-1999,7.1
1972-1999,3.9
1972-1999,6.1
1972-1999,6.2
1972-1999,5.4
1972-1999,4.8
1972-1999,5.2
1972-1999,6.6
1972-1999,6.7
1972-1999,6.4
1972-1999,3.6
1972-1999,5.7
1972-1999,8.0
1972-1999,7.7
1972-1999,5.2
1972-1999,7.1
1972-1999,7.3
1972-1999,7.5
1972-1999,6.0
1972-1999,7.0
1972-1999,6.0
1972-1999,6.7
1972-1999,7.9
1972-1999,5.5
1972-1999,5.5
1972-1999,7.3
1972-1999,6.7
1972-1999,3.7
1972-1999,6.6
1972-1999,7.3
1972-1999,6.7
1972-1999,6.2
1972-1999,5.4
1972-1999,7.3
1972-1999,5.1
1972-1999,3.5
1972-1999,6.9
1972-1999,4.5
1972-1999,6.0
1972-1999,6.6
1972-1999,6.3
1972-1999,5.5
1972-1999,7.4
1972-1999,6.7
1972-1999,6.8
1972-1999,3.4
1972-1999,5.5
1972-1999,7.6
1972-1999,6.2
1972-1999,6.5
1972-1999,6.8
1972-1999,4.7
1972-1999,6.8
1972-1999,6.8
1972-1999,5.3
1972-1999,6.1
1972-1999,5.7
1972-1999,5.8
1972-1999,6.8
1972-1999,5.7
1972-1999,7.7
1972-1999,3.3
1972-1999,5.6
1972-1999,7.4
1972-1999,4.6
1972-1999,4.5
1972-1999,7.8
1972-1999,5.3
1972-1999,7.2
1972-1999,7.1
1972-1999,7.1
1972-1999,5.1
1972-1999,5.5
1972-1999,5.7
1972-1999,7.6
1972-1999,4.0
1972-1999,7.5
